english_source|lambani_target|lambani_predicted|kannada_sentence
i am staying at his house .|ಮ ವೊರ್ ಘರ್ ರೆರೋಚು.|ಮ ವೊರ್ ಘರ್ ಪರ್ ರುಚು.|ನಾನು ಅವರ ಮನೆಯಲ್ಲಿಯೇ ಇದ್ದೇನೆ .
fold the shirt properly|ಜಿಗಲಾ ಠೀಕ ಧಡಿ ಕರ|ಜಿಗಲಾ ಠೀಕ ಘಾಲೊ|ಅಂಗಿಯನ್ನು ಸರಿಯಾಗಿ ಮಡಚಿ
the cat is near the fireplace|ಸಿಬ್ಬಿ ಅಂಗಾರೇರ ಕನ್ ಚ|ಸಿಬ್ಬಿ ಅಂಗಾರೇರ ಕನ ಚ.|ಬೆಕ್ಕು ಬೆಂಕಿಯ ಬಳಿ ಇದೆ
he knocked at the door .|ಉ ಬಗಲ್ ಮಾರೋ|ವು ಬಾಗಲ್ ಮಾರೋ|ಅವನು ಬಾಗಿಲು ಬಡಿದ .
i would rather not prefer it .|ಮ ವೊನ್ ಜಾಸ್ತ್ ಪಸಂದ್ ಕರುನಿ.|ಮ ವೊನ್ ಪಸಂದ್ ಛೆನಿ.|ನಾನು ಅದನ್ನು ಆದ್ಯತೆ ನೀಡುವುದಿಲ್ಲ .
she hadn 't been working .|ವು ಕಾಮ ಕರರಿತಿ ಕೋನಿ.|ವು ಕಾಮ್ ಕರ್ರಿಕೊಂತಿ.|ಅವಳು ಕೆಲಸ ಮಾಡುತ್ತಿರಲಿಲ್ಲ .
i would like to speak to her .|ಮ ವೊತಿ ವಾತೆ ಕರೆರ್ ಚಾವರೊಚು.|ಮನ್ ವೊರ್ ಜೋಡಿ ವಾತೆ ಕರೆರ್ ಚ.|ನಾನು ಅವಳೊಂದಿಗೆ ಮಾತನಾಡಲು ಬಯಸುತ್ತೇನೆ .
we will not be there on time .|ಹಮ್ ವತ ಸಮಯ ರಚನ ಆಮಾನಿ|ಹಮ್ ವತ ಸಮಯ ಪರ್ ರೇಮಾನಿ|ನಾವು ಸಮಯಕ್ಕೆ ಅಲ್ಲಿಗೆ ಬರುವುದಿಲ್ಲ .
yes it happens from time to time .|ಹಾ ಈ ಕನ್ನಾ ವನಾ ವಚ.|ಹಾವ್ ವೂ ಸಮಯ ಖುಟಚ್|ಹೌದು , ಇದು ಕಾಲಕಾಲಕ್ಕೆ ಸಂಭವಿಸುತ್ತದೆ .
sheena is shorter than her .|ಶೀನಾ ವೊತಿ ನಾಣಕಿ ಚ.|ಶೀನಾ ವೊತಿ ನಾಣಕ್ಯ ಚ.|ಶೀನಾ ಅವಳಿಗಿಂತ ಚಿಕ್ಕವಳು .
this dog belongs to sita .|ಈ ಕುತ್ರ ಸೀತರ ಛ.|ಈ ಕುತ್ರ ಸೀತ ಚ|ಈ ನಾಯಿ ಸೀತೆಗೆ ಸೇರಿದೆ .
i have had an earache .|ಮಾರ್ ಕಾನ್ ದುಕರೋಚ.|ಮಾರ್ ಕನ್ ಅರಾಮ್ ಛೆನಿ.|ನನಗೆ ಕಿವಿನೋವು ಬಂದಿದೆ .
my banana was stolen .|ಮಾರ್ ಬ್ಯಾಗ್ ಚೋರಿ ವೇಗಿಚ.|ಮಾರ್ ಕೇಳಾ ಚೋರಿ ವೇಗಿಚ.|ನನ್ನ ಬಾಳೆಹಣ್ಣು ಕಳ್ಳತನವಾಗಿದೆ .
my bag was stolen .|ಮಾರ್ ಬ್ಯಾಗ್ ಚೋರಿ ವೇಗಿಚ.|ಮಾರ್ ಬ್ಯಾಗ್ ಗಮಾಗೀತಿ|ನನ್ನ ಬ್ಯಾಗ್ ಕಳ್ಳತನವಾಗಿದೆ .
the child is crying badly .|ಪಾಪು ಘಣೊ ರೋರೋಚ|ಪಾಪು ಘಣ ರೋರೋಚ.|ಮಗು ಕೆಟ್ಟದಾಗಿ ಅಳುತ್ತಿದೆ .
it is time to go to bed .|ಸೊಯೆರ್ ಸಮಯ್ ವೇಗಿಚ.|ಸೋಯೆನ್ ಜಾಯೆರ ಸಮಯ ಚ.|ಇದು ಮಲಗಲು ಸಮಯವಾಗಿದೆ .
she hasn 't made it yet .|ವು ಅಜಿ ಕಿದಿ ಕೊಂತಿ.|ವು ಅಬೆಲಗೂ ಕಿದೊಕೊಂತಿ.|ಅವಳು ಇನ್ನೂ ಮಾಡಿಲ್ಲ .
it is supposed to rain tomorrow .|ಸವಾರ್ ಪಾಣಿ ಪಡಚ.|ಸವಾರ್ ಪಾಣಿ ಪಡನು.|ನಾಳೆ ಮಳೆ ಬೀಳುವ ಸಾಧ್ಯತೆ ಇದೆ .
this glass of milk is full .|ಈ ಗಿಲಾಸೆಮ್ ದೂದ ಚ|ಎ ಗ್ಲಾಸೆಮ ದೂದ್ ಭರೋಚ.|ಈ ಲೋಟದ ತುಂಬ ಹಾಲು ತುಂಬಿದೆ .
she is not washing her hair .|ವು ವೊರ್ ಲಟ್ಟಾ ಧೊರಿಕೊಂತಿ.|ವು ವೊರ್ ಲಟ್ಟಾ ಧೊರಿಕೊಂತಿ.|ಅವಳು ತನ್ನ ಕೂದಲನ್ನು ತೊಳೆಯುತ್ತಿಲ್ಲ .
at that time they sing the songs .|ವೊ ಸಮಯ್ ಪರ ವೊ ಗೀದೆ ಗೀದಗಾವಚ|ಓ ಟೈಮ್ ಮೆಮಯಿ ವೊ ಗಿದೆ ಗಿದಗಾವಚ.|ಆ ಸಮಯದಲ್ಲಿ ಅವರು ಹಾಡುಗಳನ್ನು ಹಾಡುತ್ತಾರೆ .
i like swimming very much .|ಮನ್ ಪೇರೇರ ಘಣ್ ಪಸಂದ್ ಚ.|ಮನ್ ಘಣ್ ಪೇರೇನ್ ಪಸಂದ್ ಚ.|ನನಗೆ ಈಜುವುದು ತುಂಬಾ ಇಷ್ಟ .
i hadnot been working there .|ಮ ವತ್ ಕಾಮ್ ಕಾರ್ರೊತೊ ಕೋನಿ.|ಮ ವತ್ ಕಾಮ್ ಕಿದೋ ಕೊಂತಿ.|ನಾನು ಅಲ್ಲಿ ಕೆಲಸ ಮಾಡಿರಲಿಲ್ಲ .
who will look after the cats ?|ಸಿಬ್ಬಿನುನ ಕುಣ ದೇಕಚ?|ಸಿಬ್ಬಿನುನ ಕುಣ ದೇಕರೆಚ ?|ಬೆಕ್ಕುಗಳನ್ನು ಯಾರು ನೋಡಿಕೊಳ್ಳುತ್ತಾರೆ ?
in the forest she fainted .|ಜಂಗಲೆಮ ವು ಬೇಹೋಶ್ ವೇಗಿ|ವು ಜಂಗಲೇಮ್ ಫೇಲ್ ವೇಗಿಚ|ಕಾಡಿನಲ್ಲಿ ಅವಳು ಮಬ್ಬಾಗಿದ್ದಳು .
let us move on to something else .|ದುಸರಿ ವಡಿ ಜಾಮಾ ಚಾಲೋ.|ಅಜಿ ದೂಸರ್ ಕಾಂಯಿಕ್ ಚಾಲೆನ್ ಜಾಮಾ.|ನಾವು ಬೇರೆಯದಕ್ಕೆ ಹೋಗೋಣ .
what is the colour of your house ?|ತಮಾರ ಘರೇರ ರಂಗ ಕುಣಸೊ ಚ?|ತಾರ ಘರೇರ ರಂಗ ಕುಣಸೋಚ ?|ನಿಮ್ಮ ಮನೆಯ ಬಣ್ಣ ಯಾವುದು ?
why have you left me and went away|ತು ಮನ್ ಕಾ ಛೋಡನ್ ದರಗೊ|ತು ಮನ್ ಕಾ ಛೋಡನಾಕೊ?|ಯಾಕೆ ನನ್ನ ಬಿಟ್ಟು ಹೊರಟು ಹೋದೆ
let anybody come and serve food .|ಕೊಯಿಕ ಆನ ಬಾಟಿ ಘಾಲೊ|ಕೊಯಿಬಿ ಬಾಟಿ ಘಾಲ ಅನ ಖಾವಚ.|ಯಾರಾದರೂ ಬಂದು ಊಟ ಬಡಿಸಲಿ .
it went to the potters house .|ವು ಕುಂಬಾರೇರ ಘರೇನ ಗೆ|ವು ಕುಂಬಾರೇರ ಘರೇನ ಗೆ|ಅದು ಕುಂಬಾರರ ಮನೆಗೆ ಹೋಯಿತು .
i am not convinced at all .|ಮನ್ ಅಜಿ ಖಾತರಿ ವಿಕೊಂತಿ.|ಮನ್ ಸೆಮಾಯಿ ನಂಬಿಕೆ ಛೆನಿ.|ನನಗೆ ಸ್ವಲ್ಪವೂ ಮನವರಿಕೆಯಾಗಿಲ್ಲ .
he is afraid of the dark .|ವು ಅಂದಾರೇತಿ ಚಮ್ಕಚ.|ವು ಅಂದಾರೇತಿ ಚಮಕಚ|ಅವನು ಕತ್ತಲೆಗೆ ಹೆದರುತ್ತಾನೆ .
these shoes do not fit right .|ಏ ಬೂಟ್ ಟಾಂಗೆಮ ಠೀಕ ಆಯೆನಿ|ಈ ಬೂಟ್ ಠೀಕ್ ಛೆನಿ.|ಈ ಶೂಗಳು ಸರಿಯಾಗಿ ಹೊಂದಿಕೆಯಾಗುವುದಿಲ್ಲ .
what time does the next bus come ?|ಆಂಗೇರ್ ಬಸ್ ಕತ್ರಾನ ಆವಚ?|ಆಂಗೇರ ಬಸ್ ಕತ್ರಾನ್ ಚ?|ಮುಂದಿನ ಬಸ್ ಎಷ್ಟು ಗಂಟೆಗೆ ಬರುತ್ತದೆ ?
there is a well in front of you|ತಮಾರ್ ಮುಂಡಾಗ್ ಏಕ್ ವಾವಡಿ ಛ.|ತಾರ ಮುಂಡಾಗ ಏಕ ವಾವಡಿ ಚ|ನಿಮ್ಮ ಮುಂದೆ ಒಂದು ಬಾವಿ ಇದೆ
why do you want to leave today ?|ತು ಆಜ್ ಕಾ ಜಾಯೆರ್ ಚಾವರೊಚಿ?|ತು ಆಜ್ ಕಾ ಜಾಯೆಚಿ ?|ನೀವು ಇಂದು ಏಕೆ ಹೊರಡಲು ಬಯಸುತ್ತೀರಿ ?
the old man was sleeping .|ಡೊಕ್ರಾ ಸೂತೋತೊ|ಡೋಕರಾ ಸುತೋತೊ|ಮುದುಕ ಮಲಗಿದ್ದ .
she has a gentle heart .|ಓರ್ ಮನಸ್ ಫೂಲ್ ನಾಯಿ ಛ.|ವೊರ್ ದಲ್ ಗೃದಯ ಛ.|ಅವಳು ಸೌಮ್ಯ ಹೃದಯವನ್ನು ಹೊಂದಿದ್ದಾಳೆ .
i would rather die than lose you|ಮ ಮರಜಾಂವುಂಚು ಪಣ ತೋನ ಗಮಾಲುನಿ|ಮ ತಾರ್ ಗಮಾಗಿ ಜೇತಿ ಮರುಚು|ನಾನು ಸಾಯಬಹುದು ಆದರೆ ನಿನ್ನನ್ನು ಕಳೆದುಕೊಳ್ಳುವುದಿಲ್ಲ
the company gave him a gold watch|ಕಂಪನಿ ವೊನ ಏಕ ಸೋನೇರ ಗಡಿಯಾರ ದಿನಿಚ.|ಸಂಗೀತ ವೊನ ಸೋಳೋಚ|ಕಂಪನಿಯು ಚಿನ್ನದ ಗಡಿಯಾರವನ್ನು ನೀಡಿತು
bird lay egg in nest|ಹಕ್ಕಿ ಮಾಳೋಮಾಯಿ ಇಂಡಾ ಮೇಲ ಚ|ಚಲಕೋಡಿ ಕಿಡಕಿಡಾನ ಖಾವಚ|ಹಕ್ಕಿ ಗೂಡಿನಲ್ಲಿ ಮೊಟ್ಟೆ ಇಡುತ್ತದೆ
he began to learn kanada .|ವೂ ಕನ್ನಡ ಸಿಕೇನ್ ಚಾಲೂ ಕಿದೆ ಚ|ವು ಕನ್ನಡ ವೊದೆರ್ ಚಾಲು ಕಿದೋ|ಅವರು ಕನ್ನಡ ಕಲಿಯಲು ಪ್ರಾರಂಭಿಸಿದರು .
you go first to the hospital .|ತು ಮದ್ಲೇ ದವಾಖನಿನ್ ಜೋ.|ತು ಪೆಹಲೆ ಸಲಾ ಸಾಲಿನ್ ಜೋ.|ನೀನು ಮೊದಲು ಆಸ್ಪತ್ರೆಗೆ ಹೋಗು .
smoking is bad for health .|ಬಿಡಿ ಪಿಯೆರೊ ಜಿವೆನ್ ಘಾತ್ ಕರಚ.|ಸಿಗರೇಟ್ ಪಿಯೆರ್ ಮಾಂದೊ ಚ.|ಧೂಮಪಾನ ಆರೋಗ್ಯಕ್ಕೆ ಹಾನಿಕರ .
let it spread wide like a tree|ಯೇನ ಝಾಡೇರ ಪೆಡೆರ ನಾಯಿ ಚೋಡೊ ವೇದ|ವು ಝಾಡೇನಾಯಿ ಮೋಟೋ ವೇದ|ಅದು ಮರದಂತೆ ವಿಶಾಲವಾಗಿ ಹರಡಲಿ
you are my reason for living .|ಮ ಜಿವಂತ್ ರೇನ್ ಕಾರಣ್ ತು ಚಿ|ತಮ್ ಮಾರ್ ಜೀವನೆನ್ ಕಾ ಛ ಕೆನ್ ಮಾರ್ ಕಾರಣ್ ಚಿ.|ನನ್ನ ಬದುಕಿಗೆ ನೀನೇ ಕಾರಣ .
is there a bank near here ?|ಅತ್ ಕನ್ ಏಕಾದ್ ಬ್ಯಾಂಕ್ ಛ ಕ?|ಅತ್ ಕನ್ ಬ್ಯಾಂಕ್ ಛ ಕ?|ಇಲ್ಲಿ ಹತ್ತಿರ ಬ್ಯಾಂಕ್ ಇದೆಯೇ ?
the box is made of wood .|ಪೆಟ್ಟಿಗೆನ್ ಝಾಡ್ ಯೇತಿ ಕರ್ ಮಲೇಚ.|ಪೆಟ್ಟಿಗೆ ತಿ ಲಕಡಿತಿ ಕರ್ಮಲೇಚ.|ಪೆಟ್ಟಿಗೆಯನ್ನು ಮರದಿಂದ ಮಾಡಲಾಗಿದೆ .
she welcomed them and served food .|ವು ವೂನೂರ ಸ್ವಾಗತ್ ಕಿದಿ ಅನ ಬಾಟಿ ಘಾಲಿ|ವು ವೂನುನ ಖಾಣೊ ಘಾಲಿ ಅನ ಖಾಣೊ ಘಾಲಿ|ಅವರನ್ನು ಸ್ವಾಗತಿಸಿ ಊಟ ಬಡಿಸಿದಳು .
why do not you eat vegetables ?|ತು ತರಕಾರಿನೊ ಕಾ ಖಾಯೆನಿ?|ತು ಕಾಯಿಪಲ್ಯ ಕಾ ಖಾವೊಚಿ?|ನೀವು ಯಾಕೆ ತರಕಾರಿಗಳನ್ನು ತಿನ್ನುವುದಿಲ್ಲ ?
men and women dance round their victim|ಮಾಟಿ ಅನ ಬಾಯಿಗೋಳೇ ಶಿಕಾರೆರ್ ಸುತ್ತ ನಾಚತೆ ಫರಚ|ಮಾಟಿ ಅನ ಬಾಯಿಗೋಳೇ ನಾಚಚ|ಪುರುಷರು ಮತ್ತು ಮಹಿಳೆಯರು ತಮ್ಮ ಬಲಿಪಶುವಿನ ಸುತ್ತ ನೃತ್ಯ ಮಾಡುತ್ತಾರೆ
eye colour changes from person to person|ಮಾಣಸೇತಿ ಮಾಣಸೇರ ಆಂಖಿರ ಬಣ್ಣಾ ದುಸರೋ ರಚ|ಆಂಕಿತಿ ರಂಗ ಬದಲೋ|ವ್ಯಕ್ತಿಯಿಂದ ವ್ಯಕ್ತಿಗೆ ಕಣ್ಣಿನ ಬಣ್ಣ ಬದಲಾವಣೆಗಳು
he is dependent on his wife|ವು ವೋರ ಗೊಣ್ಣಿ ರ ಭರೊಸೆ ಪರಚ|ವು ವೋರ ತಾಂಡರಿ ಪರ ನಿರ್ಭರ್ ವೇ|ಅವನು ತನ್ನ ಹೆಂಡತಿಯ ಮೇಲೆ ಅವಲಂಬಿತನಾಗಿರುತ್ತಾನೆ
he sent a challenge for fight .|ವು ವೊನ ಏಕ ಚುನೌತಿ ದೇಮಲೋಚ ಕೇನ ಕಿ|ವು ಯುದ್ಧ ಕರೇನ ದೇಮಲೋಚ|ಅವರು ಹೋರಾಟಕ್ಕೆ ಸವಾಲು ಕಳುಹಿಸಿದರು
you must allow for his youth .|ತು ವೊರ್ ಜವಾನಿ ರ ವಾಸ್ ಅನುಮತಿ ದೇಣು.|ತು ವೊರ್ ಜವಾನ ಅನುಮತಿ ಕರನು.|ನೀವು ಅವನ ತಾರುಣ್ಯಕ್ಕೆ ಅವಕಾಶ ನೀಡಬೇಕು .
did you miss the morning bus ?|ತಾರ್ ಪರ್ಬಾತೀರ್ ಬಸ್ ಛೂಟಗೀಚ್ ಕ?|ತಾರ್ ಬಸ್ ಚುಟಗೀಚ್ ಕ?|ನೀವು ಬೆಳಗಿನ ಬಸ್ಸನ್ನು ತಪ್ಪಿಸಿಕೊಂಡಿದ್ದೀರಾ ?
he neither does this nor that .|ವು ಏನ್ ಬಿ ಕಿದೋ ಕೊನಿ ಅನಾ ವೊನ್ ಬಿ ಕಿದೋ ಕೊನಿ.|ವು ಹನು ಕರೆನಿ.|ಅವನು ಇದನ್ನು ಮಾಡುವುದಿಲ್ಲ ಅಥವಾ ಮಾಡುವುದಿಲ್ಲ .
we are proud to be indians .|ಹಮ್ ಭಾರತ್ ವಾಸಿ ಛಾ ಕೆನ್ ಖುಷಿ ಪಡಾಛಾ.|ಹಮೇನ ಹಿಂದುನೋ ವ ಜನಾ ಗರ್ವ್ ಚ|ನಾವು ಭಾರತೀಯರಾಗಿರುವುದಕ್ಕೆ ಹೆಮ್ಮೆ ಪಡುತ್ತೇವೆ .
the panchayat settles all the problems|ವಾಡಕಿ ಅನ್ ಆಚಿ ವಾತೇತಿ ಕುಣಸಿಬಿ ಸಮಸ್ಯಾರ ಉತ್ತರ ದೂoಡಚ್|ಪಂಚಾಯತ್ ಸೆ ಸಮಸ್ಯೆ ಕರಚ.|ಪಂಚಾಯತ್ ಎಲ್ಲಾ ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸುತ್ತದೆ
he is used to mountain climbing|ವೋನ ಉಪ್ಪರ್ ಚಡೆನ್ ರೂಡಿ ವೇಮಲಿಚ|ವೋನ ದಡಿಯಾ ಚಡೇರ ರೂಡಿ ವೆಮೆಲಿಚ|ಅವನನ್ನ ಪರ್ವತಾರೋಹಣಕ್ಕೆ ಬಳಸಲಾಗುತ್ತಾರೆ
the caterpillar was dark green in color|ಕಿಡಾ ಘಣೋ ಹರೋ ರಂಗೇರೋಚ|ಮೇಣರ್ ರಂಗ ಹರೋ ವೇತ್ತಿ|ಹುಳು ಕಡು ಹಸಿರು ಬಣ್ಣದಲ್ಲಿತ್ತು
the young man of golden hair washer lost son .|ಲಾರ್ತಿ ಡೋಕರಿನ ಮಾಲಮ್ ವಿ|ಸೋನೇರ ಲಟ್ಟಾವಾಳೋ ವೋರ ಬೇಟಾ ಗಮಾಲಿದೋಚ|ಗೋಲ್ಡನ್ ಹೇರ್ ವಾಷರ್ನ ಯುವಕನು ಮಗನನ್ನು ಕಳೆದುಕೊಂಡನು .
afterwards they led a life of contentment .|ಲಾರ್ತಿ ವೊ ಸಂತೋಷೇತಿ ರೇ|ಲಾರ್ತಿ ವೊ ಖುಷಿತಿ ರೇ|ಬಳಿಕ ನೆಮ್ಮದಿಯ ಜೀವನ ನಡೆಸುತ್ತಿದ್ದರು .
you must make up your mind and that at once .|ತು ಏಕ ಸಲಾ ಮನಸ್ ಕರನು.|ತು ತಾರ್ ಮನಸ್ ಕರನು.|ನೀವು ನಿಮ್ಮ ಮನಸ್ಸನ್ನು ಮಾಡಬೇಕು , ಮತ್ತು ಒಮ್ಮೆ .
i apologize for my mistakes .|ಮ ಮಾರ್ ಗಲತಿನೂರ್ ಮಾಫಿ ಮಾಂಗುಚು.|ಮ ಮಾರ್ ಗಲತಿ ಮಾನ್ ಲುಚು.|ನನ್ನ ತಪ್ಪುಗಳಿಗಾಗಿ ನಾನು ಕ್ಷಮೆಯಾಚಿಸುತ್ತೇನೆ .
she would marry whoever reached the bank .|ದಂಡಿನ ಕುಣ ಆನ ಪುಚ ಜೇತಿ ವಾಯಾ ಕರುಚು|ಉ ಛೋರಿ ಬ್ಯಾಂಕ್ ಕುಣ ಆನ ವಾಯಾ ಕರಚ|ಅವರು ದಡವನ್ನು ತಲುಪಿದವರನ್ನು ಮದುವೆಯಾಗುತ್ತಾರೆ .
holi now finally begins according to his directions .|ಹೋಳಿನ ಅಬ ವು ಕು ಕ ಜು ಕರಚ|ಹೋಳಿನ ಅಂತೆಮ ವೋರ ದಿಕ್ಕೆಮ ಚಾಲು ವಚ|ಹೋಳಿ ಈಗ ಅಂತಿಮವಾಗಿ ಅವರ ನಿರ್ದೇಶನಗಳ ಪ್ರಕಾರ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ .
i can climb the coconut tree .|ಮ ನಾರಳೇರ್ ಝಾಡ್ ಚಡ್ ಸಕುಚು.|ಮ ನಾರಳೆರ್ ಝಾಡ ಚಡ ಸಕುಚು.|ನಾನು ತೆಂಗಿನ ಮರವನ್ನು ಹತ್ತಬಲ್ಲೆ .
the fog was thick early in the morning|ಪರಬಾತಿ ವೋಸ ಘಣೋ ಪಡರೋತೋ|ವೋಸ ಪಡೆರೋ ಕಮ್ಮ ವೇತ್ತಿ|ಮುಂಜಾನೆ ಮಂಜು ದಟ್ಟವಾಗಿತ್ತು
my mouth filled with water after seeing sweets|ಮಿಟೊ ದೇಕನ್ ಮಾರ ಮುಂಡೇಮ ಪಾಣಿ ಆಯೋ|ಮಾರ ಮುಂಡೋ ಮಿಟೋ ಪಾಣಿ ಭರೋಚ.|ಸಿಹಿ ತಿಂಡಿಗಳನ್ನು ನೋಡಿದಾಗ ನನ್ನ ಬಾಯಲ್ಲಿ ನೀರು ಬಂದಿತು
such changes are quite common in folk literature .|ಜಾನಪದ ಸಾಹಿತ್ಯಮ ಅಸ ಬದಲಾವ ವಚ|ಜಾನಪದ ಸಾಹಿತ್ಯರ ಪ್ರಕಾರೇನುಮ ಘಣ ಸಾಮಾನ್ಯ ರಚ|ಅಂತಹ ಬದಲಾವಣೆಗಳು ಜಾನಪದ ಸಾಹಿತ್ಯದಲ್ಲಿ ಸಾಕಷ್ಟು ಸಾಮಾನ್ಯವಾಗಿದೆ .
it was not separated for a longtime .|ವು ಘಣ ವಾಳೆಲಗಾ ದೂರ ವೇತೊ ಕೋನಿ|ಏನ್ ಘಣ್ ಸಮಯ್ ವೇಗಿಚ.|ಇದು ದೀರ್ಘಕಾಲ ಬೇರ್ಪಡಿಸಲಾಗಿಲ್ಲ .
he burned down the bamboo forest|ವೂ ಬಿದರೆರ ಕಾಡೇನ ಬಾಲನಾಕೆ|ವು ವಾಸಳಿರ ಜಂಗಲ್ ಲಕಡಿ ಬಳರೋಚ|ಅವರು ಬಿದಿರಿನ ಕಾಡನ್ನು ಸುಟ್ಟುಹಾಕಿದರು
he made a plan to entrap them .|ವು ವೂನುನ ಫಸಾಯೆರ ಯೋಜನೆ ಕಿದೋ|ವು ವೂನುನ ಏಕ ಯೋಜನೆ ಕಿದಿ|ಅವರನ್ನು ಸಿಲುಕಿಸಲು ಯೋಜನೆ ರೂಪಿಸಿದರು .
in front of you your father-in-laws party|ತಮಾರ್ ಮುಂಡಾಗ್ ತಮಾರ್ ಮಮಾರ್ ಪಕ್ಷ ಛ.|ತಮಾರ್ ಮುಂಡಾಗ್ ತಮಾರ್ ಪುಫಿರ್ ಪಕ್ಷ ಛ.|ನಿಮ್ಮ ಮುಂದೆ ನಿಮ್ಮ ಮಾವಂದಿರ ಪಕ್ಷ
i would rather be a bird than a fish .|ಮ ಮಾಚಳಿತಿ ಬಿ ಪಕ್ಷಿ ವೇನ್ ಪಸಂದ್ ಕರುಚು.|ಮ ಏಕ ಮಾಚಳಿ ಪಕಡೆನ್ ಜಾವುನ್ಚು.|ನಾನು ಮೀನುಗಿಂತ ಹಕ್ಕಿಯಾಗಲು ಬಯಸುತ್ತೇನೆ .
the scared tiger went to a camel .|ಬಾಘ್ ಚಮಕನ ಒಂಟೆ ರ ಕನ ಗೆ|ಚಮಕಣಿ ಬಾಘೆನ ಗೆ|ಹೆದರಿದ ಹುಲಿ ಒಂಟೆಯ ಬಳಿಗೆ ಹೋಯಿತು .
he wanted to make the children remain with him .|ವು ಛಿಜ್ಯಪರೇನ ವೋರ ಕನ್ನ ರಕಾಡೇನ ಚಾವರೊತೊ|ವು ಬೇಟಿಬೆಟಾನುನ್ ವೋರ ಜೋಡಿ ರೇ ಕೇನ ಚಾವರೊತೊ|ಮಕ್ಕಳನ್ನು ತನ್ನೊಂದಿಗೆ ಇರುವಂತೆ ಮಾಡಲು ಅವನು ಬಯಸಿದನು .
what do you want to do in the future ?|ತು ಭವಿಷ್ಯೇ ಮ ಕಾಂಯಿ ಕರು ಕೆರೋಚಿ?|ತು ಭವಿಷ್ಯ ಮ ಕಾಂಯಿ ಕರು ಕೆರೊಚಿ?|ಭವಿಷ್ಯದಲ್ಲಿ ನೀವು ಏನು ಮಾಡಲು ಬಯಸುತ್ತೀರಿ ?
which is the nearest bus-stop ?|ಕನ್ನೆರ್ ಬಸ್ ಸ್ಟಾಪ್ ಕುಣಸ್ ಚ ?|ಅತ ಕನ್ನೆರ ಬಸ್ ಸ್ಟಾಪ್ ಕಾಂಯಿ ಚ?|ಹತ್ತಿರದ ಬಸ್ ನಿಲ್ದಾಣ ಯಾವುದು ?
gourd is a very good vegetable .|ಲೌಕಿ ಘಣ ಆಚ ತರಕಾರಿ ಚ|ದಾಳ ಘಣ ಆಚೊ ನಂಗಾಣ ರಚ|ಸೋರೆಕಾಯಿ ತುಂಬಾ ಒಳ್ಳೆಯ ತರಕಾರಿ .
you made the same mistake as last time .|ತು ಲಾರೇರ್ ಸಲಾ ರ ನಾಯಿ ಗಲತ್ ಕಿದೋಚಿ.|ತಮ್ ಲಾರೇರ್ ಸಲಾಮ್ ತಪ್ಪ್ ಕಿದೆಚೊ|ನೀವು ಕಳೆದ ಬಾರಿಯಂತೆಯೇ ತಪ್ಪು ಮಾಡಿದ್ದೀರಿ .
these provide entertainment after their tedious work .|ವತ್ ಘರ್ ನಾಯಿ ಕಲಾ ಅನ್ ಸಾಹಿತ್ಯ ಚ್|ಏ ವೂನೂರ್ ಆಂತರಿಕ ಕಾಮೇರ ಪಚ ರಂಜನೆ ದಚ|ಇವುಗಳು ತಮ್ಮ ಬೇಸರದ ಕೆಲಸದ ನಂತರ ಮನರಂಜನೆಯನ್ನು ಒದಗಿಸುತ್ತವೆ
i found a parrot nest here ?|ಮ ಅತ ಗಿಳಿರ ಮಾಳೋ ದಿಟೋ.|ಮ ಅತ್ ಏಕ್ ಪಾರ್ಟಿ ಮಳೋ.|ನಾನು ಇಲ್ಲಿ ಗಿಳಿ ಗೂಡನ್ನು ಕಂಡುಕೊಂಡೆ ?
my hen has been laying eggs|ಮಾರ ಕುಕಡಿ ಇಂಡಾ ಮೇಲರಿಚ|ಮಾರ ಕುಕಡಿ ಇಂಡಾ ಮೇಲರೋಚ.|ನನ್ನ ಕೋಳಿಯು ಮೊಟ್ಟೆಗಳನ್ನು ಇಡುತ್ತಿದೆ
she greeted me with a smile .|ವು ಹಾಸತಿ ಮಾರ ಸ್ವಾಗತ ಕಿದಿ.|ವು ಮನ್ ದೇಕನ ಹಾಸಿ|ಅವಳು ನಗುಮುಖದಿಂದ ನನ್ನನ್ನು ಸ್ವಾಗತಿಸಿದಳು .
the wifes hair began toburn .|ತಾಂಡರಿರ ಲಟ್ಟಾ ಬಳೆಲಗೆ|ಬಾಯಿಗೋಳೇರ್ ಲಟ್ಟಾಮಾಯಿ ಜುಂವೆ ವೆರಿಚ|ಹೆಂಡತಿಯ ಕೂದಲು ಉರಿಯಲಾರಂಭಿಸಿತು .
on the way it requested him to free him .|ವಾಟೆಪರ ವು ವೊನ ಛೋಡ ಕೇನ ವಿನಂತಿ ಕಿದಿ|ವು ವಾಟೆಪರ ವೊನ ಮುಕ್ತ ಕರ ಕೇನ ಮನವಿ ಕಿದಿ|ದಾರಿಯಲ್ಲಿ ಅದು ಅವನನ್ನು ಬಿಡಿಸಲು ವಿನಂತಿಸಿತು .
