lambani_source|kannada_target|kannada_predicted
ಎಕ್ಕಿ ಮರಗೆಜೆರ್ ಸೂಚನಾ ಮಳಿಕೊಂತಿ .|ಯಾವುದೇ ಸಾವುಗಳು ವರದಿಯಾಗಿಲ್ಲ .|ಯಾವುದೇ ಸಾವಿನ ಸೂನಾ ಸಿಕ್ಕಿಲ್ಲ .
ಹಮ್ ಏಕ ಏಕ್ ವಣಾ ತಳಾವೇಮ ಪೆರಾಚಾ .|ನಾವು ಕೆಲವೊಮ್ಮೆ ಕೆರೆಯಲ್ಲಿ ಈಜುತ್ತವೆ .|ನಾವು ಕೆಲವೊಮ್ಮೆ ಕೊಳದಲ್ಲಿ ಈಜುತ್ತೇವೆ .
ಮ ಕೋರ್ಟೇರ್ ತೀರ್ಪು ಸಾಮಳರೋತೋ .|ನ್ಯಾಯಾಲಯದ ತೀರ್ಪನ್ನು ಕೇಳುತ್ತಿದ್ದೆ .|ನಾನು ನ್ಯಾಯಾಲಯದ ತೀರ್ಪು ಕೇಳುತ್ತಿದ್ದೆ .
ವೊರ್ ಹೃದಯ ದಯಾಳು ಚ .|ಅವರು ದಯೆಯ ಹೃದಯವನ್ನು ಹೊಂದಿದ್ದಾರೆ .|ಅವರ ಹೃದಯವು ಹೃದಯವಿದೆ .
ಖೇತೇಮ್ ಕಾಮ್ ಕರೆನ್ ಘಣ್ ಮೆಂತ್ಯಾ ಲಾಗಚ .|ಕೃಷಿಗೆ ಹೆಚ್ಚಿನ ಶ್ರಮ ಬೇಕಾಗುತ್ತದೆ .|ಕೃಷಿ ಕಾರ್ಯಾಚರಣೆಯಲ್ಲಿ ಸಾಕಷ್ಟು ಮೆಂಟಸಿ ಕಂಡುಬರುತ್ತದೆ .
ತಮ್ ಕತ್ರ ವೆಳಾರ್ ವಾಟ್ ದೇಕರೆಚೊ .|ನೀವು ಎಷ್ಟು ಕಾಯುತ್ತಿದ್ದಿರಿ ?|ನೀವು ಎಷ್ಟು ದಿನ ಕಾಯುತ್ತಿದ್ದೀರಿ ?
ವು ಏಕ್ ಅತ್ಯುತ್ತಮ ಶಿಕ್ಷಕ ಚ .|ಅವರೊಬ್ಬ ಅತ್ಯುತ್ತಮ ಶಿಕ್ಷಕ .|ಅವರೊಬ್ಬ ಅತ್ಯುತ್ತಮ ಶಿಕ್ಷಕ .
ಓ ವಿಷಾದ ವ್ಯಕ್ತ ಪಡ್ ಸಾಯೇಚ .|ಅವರು ವಿಷಾದ ವ್ಯಕ್ತಪಡಿಸಿದ್ದಾರೆ .|ಅವರು ವಿಷಾದಿಸಿದರು .
ವೊ ಅಬೆ ಲಗು ಸೆಟಲ್ ವೇಕೊಂತಿ .|ಅವರು ಇನ್ನೂ ನೆಲೆಸಿಲ್ಲ .|ಅವರು ಈಗ ಮುಗಿದಿಲ್ಲ .
ಕಡಿಕ್ ಭೀ ರೈಲ್ ಡಿಗಯಾಯಿಚ್ .|ಕೊನೆಗೂ ರೈಲು ಬಂದಿದೆ .|ಕೊನೆಗೂ ರೈಲು ಆಗಿದೆ .
ತು ಮದ್ಲೇ ದವಾಖನಿನ್ ಜೋ .|ನೀನು ಮೊದಲು ಆಸ್ಪತ್ರೆಗೆ ಹೋಗು .|ನೀವು ಹಿಂದೆ ದಾನಕ್ಕೆ ಹೋಗು .
ವು ವಾವಡಿರ್ ಮಾಯಿ ಭಾಟಾ ಫೆಕೊಚ .|ಅವನು ಕೆರೆಗೆ ಕಲ್ಲು ಎಸೆದನು .|ಆ ಬಾವಿಯ ಕಲ್ಲಿನಲ್ಲಿ ಎಸೆಯುತ್ತಾಳೆ .
ವು ವೊನ ತೋನ ಕ್ಷಮಾ ಮಾಂಗೇನ ಆಯೋಚು ಕೇನ ಕೆ .|ಆಕೆಯ ಕ್ಷಮೆ ಯಾಚಿಸಲು ಬಂದಿದ್ದೇನೆ ಎಂದು ಉತ್ತರಿಸಿದರು .|ಅವರು ನಿನ್ನನ್ನು ಕ್ಷಮಿಸಲು ಬಂದಿದ್ದೇನೆ ಎಂದು ಹೇಳಿದರು .
ದಿನೇದ ಟೆಸ್ಟ್ ಭೀ ಎತ್ತಜ ಚಾಲಚ್ .|ಎರಡನೇ ಟೆಸ್ಟ್ ಕೂಡ ಇಲ್ಲಿಯೇ ನಡೆಯಲಿದೆ .|ಕೊಡು ಟೆಸ್ಟ್ ಇಲ್ಲೇ ನಡೆಯಲಿದೆ .
ಘರೆಮ ಕಾಳ್ ಕಲಿ ಕು ಕಾಡೇರೊ .|ಮನೆಯಲ್ಲಿ ಕಪ್ಪು ಚುಕ್ಕೆಗಳನ್ನು ತೊಡೆದುಹಾಕಲು ಹೇಗೆ .|ಮನೆಯಲ್ಲಿ ಕಪ್ಪು ಕಲಿ ತೆಗೆಯುವುದು ಹೇಗೆ ?
ಲಾರ್ತಿ ವೊ ಸಾವಕಾಶ ಕೃಷಿ ಅನ ವ್ಯಾಪಾರೇಮ ದರಗೆ .|ನಂತರ ಅವರು ನಿಧಾನವಾಗಿ ಕೃಷಿ ಮತ್ತು ವ್ಯಾಪಾರಕ್ಕೆ ತೆರಳಿದರು .|ನಂತರ ಅವರು ನಿಧಾನವಾಗಿ ಕೃಷಿ ಮತ್ತು ವ್ಯಾಪಾರದಲ್ಲಿ ತೊರೆದರು .
ಪಾಣಿರ್ ಟ್ಯಾಂಕ್ ಫುಟನ ಏಕ್ ತಾಂಡರಿ ಮರಗಿಚ .|ನೀರಿನ ಟ್ಯಾಂಕ್ ಒಡೆದು ಮಹಿಳೆ ಸಾವನ್ನಪ್ಪಿದ್ದಾಳೆ .|ನೀರಿನ ಟ್ಯಾಂಕ್ ಫುಟಾನ್ ಒಬ್ಬ ಪತ್ನಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾಳೆ .
ವು ವೊರ್ ಸಿದ್ಧಾಂತೇನ ಕನ್ನಾಯಿ ರಾಜಿ ವೇನಿ .|ಅವನು ತನ್ನ ಸಿದ್ಧಾಂತವನ್ನು ಎಂದಿಗೂ ರಾಜಿ ಮಾಡಿಕೊಳ್ಳುವುದಿಲ್ಲ .|ಅವಳು ತನ್ನ ಸಿದ್ಧಾಂತಕ್ಕೆ ಎಂದಿಗೂ ರಾಜಿ ಮಾಡಿಕೊಳ್ಳುವುದಿಲ್ಲ .
ಪ್ರಕ್ರಿಯಾ ದಿಯೇತಿ ತೀನ್ ವಣಾ ಫರ್ತಿನ ಕರೋ .|ಪ್ರಕ್ರಿಯೆಯನ್ನು ಎರಡರಿಂದ ಮೂರು ಬಾರಿ ಪುನರಾವರ್ತಿಸಿ .|ಪ್ರಕ್ರಿಯೆಯು ಮೂರು ಬಾರಿ ಪುನರಾವರ್ತಿಸಿ .
ಛೋರೀನ್ ಮಾರೆ ಜೆ ಮಾಟಿನ್ ಶಿಕ್ಷೆ ದಿನೆ ಛ .|ಹುಡುಗಿಯನ್ನು ಕೊಂದ ವ್ಯಕ್ತಿಗೆ ಶಿಕ್ಷೆ ವಿಧಿಸಲಾಗಿದೆ .|ಯುವಕನಿಗೆ ತಾಯಿಯ ಪುರುಷನಿಗೆ ಶಿಕ್ಷೆ ನೀಡಿದ್ದಾರೆ .
ತು ಮನ ದುಸರೇರ ಪರ ಭರೋಸಾ ಕರ ಜು ಕರಗೋ .|ನೀವು ನನ್ನನ್ನು ಇತರರ ಮೇಲೆ ಅವಲಂಬಿಸುವಂತೆ ಮಾಡಿದ್ದೀರಿ .|ನೀನು ನನ್ನನ್ನು ಇತರರ ಮೇಲೆ ನಂಬುವಂತೆ ಮಾಡು .
ವು ಏಕ್ ಛಂದ್ ರಾತ್ ಚ, ಪೂರಾ ಚಾಂದಾ ಛ .|ಅದೊಂದು ಸುಂದರ ರಾತ್ರಿ, ಹುಣ್ಣಿಮೆ ಇದೆ .|ಅವರೊಬ್ಬ ಸುಂದರ ರಾತ್ರಿ ಚಂದ್ರ .
ಏ! ದೋಸ್ತಣೆ ತಮ ಚಾಂದಿ ಘಾಲಮಲಿಚೊ .|ಓ! ಸ್ನೇಹಿತರೇ, ನೀವು ಬೆಳ್ಳಿಯನ್ನು ಧರಿಸಿದ್ದೀರಿ .|ಓ! ಸ್ನೇಹಿತರು ನೀವು ಬೆಳ್ಳಿ ಧರಿಸಿದ್ದೀರಿ .
ಆಂತರಿಕ ಸಮಿತಿರ ರಚನೆ ಕಾಂಯಿ ಚ ?|ಆಂತರಿಕ ಸಮಿತಿಯ ರಚನೆ ಏನು ?|ಆಂತರಿಕ ಸಮಿತಿಯ ರಚನೆ ಏನು ?
ಖಾಣೊ ಖಾಯೇರ್ ಆಂಗ್ ತಮಾರ್ ಡಾಕ್ಟರೇತಿ ಪರೀಕ್ಷೆ ಕರಾವೋ .|ಆಹಾರವನ್ನು ಸೇವಿಸುವ ಮೊದಲು ನಿಮ್ಮ ವೈದ್ಯರನ್ನು ಪರೀಕ್ಷಿಸಿ .|ಊಟದ ಮೊದಲು ನಿಮ್ಮ ವೈದ್ಯರನ್ನು ಪರೀಕ್ಷಿಸಿ .
ಸೆ ಮಾಳಿಓ ಮಾಕಿವನುನ್ ಪಕಡೇನಿ .|ಎಲ್ಲಾ ಮೀನುಗಳು ನೊಣಗಳೊಂದಿಗೆ ಹಿಡಿಯುವುದಿಲ್ಲ .|ಎಲ್ಲರೂ ಮೀನುಗಳನ್ನು ಬಂಧಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ .
ಏರ್ ಎಕ್ಕಜ್ ಇಲಾಜ್ ಸರ್ಜರಿ ಚ .|ಇದಕ್ಕೆ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಯೊಂದೇ ಚಿಕಿತ್ಸೆ .|ಇದರ ಒಂದೇ ಚಿಕಿತ್ಸೆ ನೀಡುವ ಚಿಕಿತ್ಸೆ .
ವು ವೊನ ವಿಚ್ಛೇದನ ದೇನ ಚಾವರೊತೊ .|ಆಕೆಗೆ ವಿಚ್ಛೇದನ ನೀಡಲು ಬಯಸಿದ್ದರು .|ಅವನು ಅವಳಿಗೆ ವಿಚ್ಛೇದನ ನೀಡಲು ಬಯಸಿದನು .
ಹಾಥಿ ನೋ ಕೇಳಾ ಖಾಯೇನ ಪಸಂದ್ ಪಡಚ .|ಆನೆಗಳು ಬಾಳೆಹಣ್ಣು ತಿನ್ನಲು ಇಷ್ಟಪಡುತ್ತವೆ .|ಆನೆಗಳು ಬಾಳೆಹಣ್ಣು ತಿನ್ನಲು ಇಷ್ಟಪಡುತ್ತವೆ .
ಕುವಾರ್ ಛೋರಾನ್ ಗಿರಫ್ತಾರ ಕರಮಲೆತೆ .|ಹದಿಹರೆಯದ ಬಾಲಕನನ್ನು ಬಂಧಿಸಲಾಗಿದೆ .|ನಾಯಕ ಹುಡುಗನನ್ನು ಬಂಧಿಸಲಾಗಿತ್ತು .
ತೋನ್ ಆಜ್ ದಸೆಕ್ ತಾವ್ ಚ, ಹಾವ ಕೋನಿ ?|ನಿಮಗೆ ಇಂದು ಸ್ವಲ್ಪ ಜ್ವರವಿದೆ, ಅಲ್ಲವೇ ?|ಇಂದು ನಿಮಗೆ ಸ್ವಲ್ಪ ಜ್ವರ ಚಲನೆ ಇಲ್ಲವೇ ?
ವಿಜ್ಞಾನ ಅನ ಧರ್ಮ ದೊಯೀ ನಾಳಿ ನಾಳಿ ಚ .|ವಿಜ್ಞಾನ ಮತ್ತು ಧರ್ಮ ಬೇರೆ ಬೇರೆ .|ವಿಜ್ಞಾನಗಳು ಮತ್ತು ಧರ್ಮಗಳು ಎರಡೂ ವಿಭಿನ್ನವಾಗಿವೆ .
ಸಿಕೇರ್ ಕನ್ನಾಯಿ ನ ಖುಟೆರ್ ಪ್ರಕ್ರಿಯಾ ಚ .|ಕಲಿಕೆಯು ಎಂದಿಗೂ ಮುಗಿಯದ ಪ್ರಕ್ರಿಯೆ .|ಕಲಿಕೆಯು ಎಂದಿಗೂ ಮುಗಿಯದೆ ಪ್ರಕ್ರಿಯೆಯಾಗಿದೆ .
ಪಕಡಮಲೆ ಜೆ ಆರೋಪಿನುರ ಪೊಲೀಸ್ ವಿಚಾರಣೆ ಕರರೇಚ .|ಬಂಧಿತ ಆರೋಪಿಯನ್ನು ಪೊಲೀಸರು ವಿಚಾರಣೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ .|ಬಂಧಿಸಿದ ಆರೋಪಿಗಳ ಪೊಲೀಸರು ವಿಚಾರಣೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ .
ಬರೆ ವಾಯಾ ಕರಮಲ್ ಜೋಣ ಬಾಯಿಗೋಳೆ ಏ ಆಭರಣ ಘಾಲಸಕಚ .|ವಿವಾಹಿತ ಮಹಿಳೆಯರು ಮಾತ್ರ ಈ ಆಭರಣವನ್ನು ಧರಿಸುತ್ತಾರೆ .|ವಿವಾಹಿತ ಮಹಿಳೆಯರು ಮಾತ್ರ ಈ ಆಭರಣಗಳನ್ನು ಧರಿಸಬಹುದು .
ಜಾಸ್ತ್ ಮಾಣಸೇನ ವುಜ್ ಮಳಚ ಜೆರ್ ವೊ ಹಕ್ಕ್ ದಾರ್ ಚ .|ಹೆಚ್ಚಿನ ಜನರು ಅವರಿಗೆ ಅರ್ಹವಾದದ್ದನ್ನು ಪಡೆಯುತ್ತಾರೆ .|ಬಹುತೇಕ ಮನುಷ್ಯರಿಗೆ ಅದೇ ಹಕ್ಕು .
ಯೇತಿ ಧಾರ್ಮಿಕ ಭಾವನೆನ್ ಧಕ್ಕೆ ವೇಮಲಿಚ್ .|ಇದರಿಂದ ಧಾರ್ಮಿಕ ಭಾವನೆಗಳಿಗೆ ಧಕ್ಕೆಯಾಗಿದೆ .|ಇದರಿಂದ ಧಾರ್ಮಿಕ ಭಾವನೆಗಳಿಗೆ ಹಾನಿಯಾಗಿದೆ .
ತಮ್ ಕಾ ಹನು ಸಂಬಂಧ ಛೆಯೀಜು ವಾತೇ ಕರ್ರೆಚೊ .|ನೀವು ಯಾಕೆ ಈ ರೀತಿ ಅಸಂಬದ್ಧವಾಗಿ ಮಾತನಾಡುತ್ತಿದ್ದೀರಿ ?|ನೀವು ಯಾಕೆ ಈ ರೀತಿಯಲ್ಲಿ ಮಾತನಾಡುತ್ತಿದ್ದೀರಿ ?
ವಾಯಾವಾಳ ಅನ ಬಗರ್ ವಾಯಾವಾಳ್ ಬಾಯಿಗೋಳೆ ವೂನುನ ಘಾಲಚ .|ವಿವಾಹಿತರು ಮತ್ತು ಅವಿವಾಹಿತ ಮಹಿಳೆಯರು ಅವುಗಳನ್ನು ಧರಿಸುತ್ತಾರೆ .|ಅವಿವಾಹಿತ ಮತ್ತು ಅವಿವಾಹಿತ ಮಹಿಳೆಯರು ಅವುಗಳನ್ನು ಧರಿಸುತ್ತಾರೆ .
ಭಾರತೇಮ ಬುಡಕಟ್ಟು ಬಾಯಿಗೋಳೇರ ಆರೋಗ್ಯ ಸ್ಥಿತಿ ಘಣ ಮಾಂದ್ ಚ .|ಭಾರತದಲ್ಲಿ ಬುಡಕಟ್ಟು ಮಹಿಳೆಯರ ಆರೋಗ್ಯ ಸ್ಥಿತಿ ತುಂಬಾ ಕಳಪೆಯಾಗಿದೆ .|ಭಾರತದಲ್ಲಿ ಬುಡಕಟ್ಟು ಮಹಿಳೆಯರ ಆರೋಗ್ಯ ಸ್ಥಿತಿ ಕೆಟ್ಟದಾಗಿದೆ .
ಚಂಪಾ ಫೂಲ ಫೂಟಚ .|ಚಂಪಾ ಮೊಗ್ಗುಗಳು ತೆರೆದುಕೊಳ್ಳುತ್ತವೆ .|ಚಂಪಾ ಹೂವು ಅರಳುತ್ತದೆ .
ಆಜು ಬಾಜೂರ ಜಾತಿವಾಳೆರ ಪ್ರಭಾವೇತಿ .|ನೆರೆಯ ಹಿಂದೂ ಜಾತಿಗಳ ಪ್ರಭಾವದಿಂದಾಗಿ .|ನೆರೆಹೊರೆಯವರ ಜಾತಿಗಳ ಪ್ರಭಾವ ಬೀರಿದೆ .
ವೊ ಪ್ರಕೃತಿರ ಚಮತ್ಕಾರೇರ ಪೂಜಾ ಕರಚ .|ಅವರು ಪ್ರಕೃತಿಯ ಅದ್ಭುತಗಳು ಮತ್ತು ಅದ್ಭುತಗಳನ್ನು ಪೂಜಿಸುತ್ತಾರೆ .|ಅವರು ಪ್ರಕೃತಿಯ ಭಯದ ಪೂಜಿಸುತ್ತಾರೆ .
ಉ ಘಣ ಮಹತ್ವಾಕಾಂಕ್ಶಿರ್ ಛ .|ಅವಳು ತುಂಬಾ ಮಹತ್ವಾಕಾಂಕ್ಷೆಯುಳ್ಳವಳು .|ಅವನು ಅತ್ಯಂತ ಮಹತ್ವಾಕಾಂಕ್ಷರ್ .
ಹೇಟೆರ ಜಾಬಡಿ ಸೇರ ವೇತ್ತಿ ಕೋನಿ .|ಕೆಳಗಿನ ದವಡೆಯ ವಿಸ್ತರಣೆಯು ಎಲ್ಲಾ ಸಂದರ್ಭಗಳಲ್ಲಿ ಇರುವುದಿಲ್ಲ .|ಕೆಳಗಿನವರ ಮಡಿ ಎಲ್ಲದಕ್ಕೂ ಇರಲಿಲ್ಲ .
ವನೂರ್ ಮನಸ್ ವಲಸಾಯೆಮಾಯಿ ಗೆದ್ದಗೆಚ್ .|ಅವರು ಮನವೊಲಿಸುವಲ್ಲಿ ಯಶಸ್ವಿಯಾದರು, ಅವರ ವಿಮರ್ಶಕರು .|ಅವರ ಮನವೊಲಿಸುವಲ್ಲಿ ಅವರು ಗೆದ್ದರು .
ಸಮುದಾಯ ರ ಲೋಗ್ ಭಾರತೇರ್ ಉತ್ತರ ಪಶ್ಚಿಮೇತಿ ಛ .|ಪೆರಾಂಬುಲೆಂಟ್ ಜನರು ಎಂದು ವಿವರಿಸಲಾದ ಸಮುದಾಯವು ಭಾರತದ ವಾಯುವ್ಯದಿಂದ ಬಂದವರು .|ಸಮುದಾಯ ಜನರು ಭಾರತದ ಉತ್ತರದಿಂದ ಕೂಡಿದ್ದಾರೆ .
ಈ ಘಣ ವಿಕ್ಷಕೆರ್ ರಿಸೆನ್ ಕಾರಣ ವೇಮಲಿಚ್ .|ಇದು ಹಲವಾರು ವೀಕ್ಷಕರ ಅಸಮಾಧಾನಕ್ಕೆ ಕಾರಣವಾಗಿದೆ .|ಇದು ಬಹಳ ವಿಕ್ಷಿಕಕ್ಕೆ ಕಾರಣವಾಗಿದೆ .
ನದಿ ನಗರೇನ ಡುಬಾಡನಾಕಿಚ .|ನದಿಯು ನಗರವನ್ನು ಮುಳುಗಿಸಿತು .|ನದಿ ನಗರಕ್ಕೆ ಮುಳುಗಿದೆ .
ಮನ್ ಸೂಟಿ ವೇತ್ತಿ ಜನಾ ದಾಡ್ಡಿ ಪಾಣಿ ಪಡತಿತಿ .|ನನ್ನ ರಜಾದಿನಗಳಲ್ಲಿ ಪ್ರತಿದಿನ ಮಳೆ ಬರುತ್ತಿತ್ತು .|ನನಗೆ ಪ್ರತಿದಿನ ರಜೆ ಮಳೆ ಸುರಿಯುತ್ತಿದ್ದೆ .
ಬಾಯಿಗೋಳೇ ಪೂರಾ ರಾತ ಜಸ್ನ ಕರೇನ ಗೋಳಾವಚ .|ಇಡೀ ರಾತ್ರಿ ಆಚರಿಸಲು ಮಹಿಳೆಯರು ನಂತರ ಸೇರುತ್ತಾರೆ .|ರಾತ್ರಿಯಿಡೀ ಸಂಜಯವನ್ನು ಸಂಗ್ರಹಿಸಲು ಮಹಿಳೆಯರು ಸೇರುತ್ತಾರೆ .
ಕುಣಸ್ ಸಂಸ್ಥೆ ದೆಶೆಮಾಯಿ ಪ್ರಸಿದ್ಧ ಛ .|ಯಾವ ಸಂಸ್ಥೆಗಳು ದೇಶದಲ್ಲಿ ಪ್ರಸಿದ್ಧವಾಗಿವೆ ?|ಯಾವ ಸಂಸ್ಥೆಯು ದೇಶದಲ್ಲಿ ಪ್ರಸಿದ್ಧವಾಗಿದೆ ?
ಹಮ್ ವೊನ ಕತ್ರಾಕೋ ಮೀನಾತಿ ದಿಟೆಕೊಂತಿ .|ನಾವು ಅವಳನ್ನು ಹಲವಾರು ತಿಂಗಳುಗಳಿಂದ ನೋಡಿಲ್ಲ .|ನಾವು ಅವನನ್ನು ಹಲವು ತಿಂಗಳಿನಿಂದ ನೋಡಿಲ್ಲ .
ವೊನ ದೇವೆರ ಗಾವಡಿತಿ ಸಂರಕ್ಷಣೆ ಮಳಚ .|ಅವರು ದೇವರುಗಳ ಹಸುವಿನ ರಕ್ಷಣೆ ಪಡೆದರು .|ಅವರು ದೇವಸ್ಥಾನದಿಂದ ಸಂರಕ್ಷಣೆಯನ್ನು ಪಡೆಯುತ್ತಾರೆ .
ರಾಮ್ ಹಿಂದೂ ವನೂರ್ ಪೂಜ್ಯ ದೇವ್ ಛ .|ರಾಮ ಹಿಂದೂಗಳು ಅತ್ಯಂತ ಪೂಜ್ಯ ದೇವರು .|ರಾಮ ಹಿಂದೂ ತಮ್ಮ ಜ್ಯ್ ದೇವತೆ .
ಫೂಲೆರ್ ದಳ ಬುರೇನ್ ಘಣ ಪಾಣಿ ಭೇಳೋ .|ದಳಗಳನ್ನು ಮುಚ್ಚಲು ಸಾಕಷ್ಟು ನೀರು ಸೇರಿಸಿ .|ಹೂವಿನ ದಟ್ಟಿಯನ್ನು ಸಾಕಷ್ಟು ನೀರು ಸೇರಿಸಿ .
ರಾಜು ಘಣ್ ಕಮ್ ಟ್ಯಾಕ್ಸ್ ಗೋಳಾಕರಚ .|ರಾಜನು ಬಹಳ ಕಡಿಮೆ ತೆರಿಗೆಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತಾನೆ .|ರಾಜು ಬಹಳ ಕಡಿಮೆಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತಾರೆ .
ಕಪ್ಪೆನ್ ಟೇಬಲ್ ಪರ್ತಿ ಸರ್ಕಾವೊ .|ಕಪ್ ಅನ್ನು ಮೇಜಿನಿಂದ ಸರಿಸಿ .|ಕಪ್ಪೆಯನ್ನು ಟೇಬಲ್ ಆರಿಸಿ .
ಫೋಟೋ ಇಂಟೆರ್ನೆಟ್ಟೇತಿ ಲೇಮಲೆಚ .|ಚಿತ್ರವನ್ನು ಅಂತರ್ಜಾಲದಿಂದ ತೆಗೆದುಕೊಳ್ಳಲಾಗಿದೆ .|ಫೋಟೋವನ್ನು ಇಂಟರ್ನೆಗಳಿಂದ ತೆಗೆದುಕೊಳ್ಳಲಾಗಿದೆ .
ತಮಾರ್ ಹಾತೆಬುತ್ತಿ ವ ಜತರಾ ದೊ .|ನಿಮ್ಮ ಕೈಲಾದಷ್ಟು ಅವನಿಗೆ ಕೊಡಿ .|ನಿಮ್ಮ ಕೈಲಾದಷ್ಟು ಕೊಡು .
ವು ಭರೇರ ವಾಸ ಏಕ ವೇಶ್ಯಾ ವೇಗಿ .|ಪಾವತಿಸಲು ಅವಳು ವೇಶ್ಯೆಯಾದಳು .|ಅವಳು ಭವಿಷ್ಯಕ್ಕೆ ಒಂದು ವೇದಿಯಾದಳು .
ಛಾವಣಿರ ಸಾಮಗ್ರಿ ಬಗರ್ ಪಿಸಾರ .|ಚಾವಣಿ ವಸ್ತುವು ಉಚಿತವಾಗಿದೆ .|ಛಾವಣಿಯ ಸಾಮರ್ಥ್ಯವಿಲ್ಲದೆ ನಗದು .
ಫೂಲ್ ಏರ ಹಂಡಿ ಕುಣ ತೋಡೊ ಛ ?|ಹೂದಾನಿ ಮುರಿದವರು ಯಾರು ?|ಹೂವು ಒಂದು ಮಡಕೆ ಅಡಗಿದವರು ಯಾರು ?
ಮುಟ್ಟುಗ ನಿತರ ತೀನ ಪಾಲೊ .|ಮುಟ್ಟುಗ್ ಅಥವಾ ಮೂರು ಎಲೆಗಳು .|ಮುಟ್ಟುಗಳನ್ನು ಅಥವಾ ಮೂರು ಎಲೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ .
ಘರೇರ್ ಕಾಮ್ ಕರೆನ್ ಸಹಾಯ ಕರ ಜೋಣ ಬಾಯಿಗೋಳೆ ಅನ ಛಿಜ್ಯಪರ್ .|ಮನೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುವ ಮಹಿಳೆಯರು ಮತ್ತು ಮಕ್ಕಳು ಸಹಾಯ ಮಾಡುತ್ತಾರೆ .|ಮನೆಗೆಲಸ ಮಾಡಲು ಮಹಿಳೆಯರು ಮತ್ತು ಮಕ್ಕಳು .
ಈ ಮೌಸಾಹಾರಿ ಸಸ್ತನಿ ಛ .|ಇದು ಮಾಂಸಾಹಾರಿ ಸಸ್ತನಿ .|ಈ ಮೌನ ಸಾರಿ ಸಸ್ತನಿಗಳಾಗಿವೆ .
ಮನ್ ಪಕ್ಷಿ ಮಾರ್ ಸಾಂವು ಆವ ಜಿಂವು ಕರೆರ ವೇನಿ .|ನಾನು ಪಕ್ಷಿಯನ್ನು ಸೆಳೆಯಲು ಸಾಧ್ಯವಿಲ್ಲ .|ನಾನು ನನ್ನ ಹಕ್ಕಿಯತ್ತ ಬರಲು ಸಾಧ್ಯವಿಲ್ಲ .
ಏಕ್ ಏಕ್ ಸಲಾ ವು ಏಕ್ ವಿಚಿತ್ರ ಮಾಣಸ್ ಅನಸಾವಚ .|ಕೆಲವೊಮ್ಮೆ ಅವನು ವಿಚಿತ್ರ ವ್ಯಕ್ತಿಯಾಗಿರಬಹುದು .|ಕೆಲವೊಮ್ಮೆ ಅವರು ವಿಚಿತ್ರ ವ್ಯಕ್ತಿ ಎಂದು ಭಾವಿಸುತ್ತಾರೆ .
ಓರ್ ಕಾಮ್ ವನೂರ್ ಪಾಕ್ತಿ ವಿವರಣೆ ದೇಮಲೇಚ .|ಅವರ ಕೆಲಸವನ್ನು ಅವನಿಂದ ವಿವರಿಸಲಾಗಿದೆ .|ಆಕೆಯ ಉದ್ಯೋಗಿಗಳ ಪಕ್ಕದಿಂದ ವಿವರಿಸಲಾಗಿದೆ .
ಸೇಬು ಹಣ್ಣಮಾಯಿ ಘಣ ಉಪಯೋಗ ಛ ಶರೀರೇನ್ .|ಸೇಬುಗಳು ಅನೇಕ ಆರೋಗ್ಯ ಪ್ರಯೋಜನಗಳನ್ನು ಹೊಂದಿವೆ .|ಸೇಬು ಹಣ್ಣುಗಳಲ್ಲಿ ಹಲವಾರು ಪ್ರಯೋಜನಗಳಿವೆ .
ಏರ್ ಬಗ್ಗೆ ಘಣ ಮೋಟೋ ಚರ್ಚಾ ಚಾಲ್ರಿಚ್ .|ಈ ಬಗ್ಗೆ ತೀವ್ರ ಚರ್ಚೆ ನಡೆಯುತ್ತಿದೆ .|ಈ ಬಗ್ಗೆ ಸಾಕಷ್ಟು ದೊಡ್ಡ ಚರ್ಚೆ ನಡೆಯುತ್ತಿದೆ .
ಉ ಏಕ್ ಥಳ್ ಬಂಡೆ ಸಾಮಾನ್ ವೇತ್ತಿ .|ಅದೊಂದು ಖಾಲಿ ಪಾತ್ರೆಯಾಗಿತ್ತು .|ಅದೊಂದು ರೀತಿಯ ಬಂಡೆಯನ್ನು ಹೊಂದಿತ್ತು .
ಹೇ! ಕೃಷ್ಣಾ ದೂದ್ ಪಿ ದೂದ್ ಪಿ .|ಓ! ಕೃಷ್ಣ ಕುಡಿಯಲು ಹಾಲು ಕುಡಿಯಲು ಹಾಲು .|ಓ! ಕೃಷ್ಣ ಹಾಲು ಸೇರಿಸಿ .
ಓ ಚಿತ್ರಕಲೆಮಾಯಿ ಮಗ್ನ ವೆತ್ತೆ .|ಅವರು ಚಿತ್ರಕಲೆಯಲ್ಲಿ ನಿರತರಾಗಿದ್ದರು .|ಅವರು ಚಿತ್ರಕಡಿಯಲ್ಲಿ ಸತ್ತರು .
